标题,作者,期刊,年份,干预措施数量,联合措施类型,主穴1,主穴2,主穴3,主穴4,主穴5,主穴6,主穴7,主穴8,主穴9,主穴10,主穴11
中医综合疗法治疗高血压阴虚阳亢证的临床疗效,裴雯,中西医结合心脑血管病杂志,2021,3,中药汤剂、穴位贴敷,降压沟,肝,肾,,,,,,,,
针刺联合耳穴贴压对原发性高血压患者动态血压及血压变异性指标的影响,长春中医药大学学报,陆敏红,2021,2,针刺,心,交感,降压沟,神门,,,,,,,
穴位按摩结合耳穴压豆法对高血压伴睡眠障碍患者的应用价值,刘园,辽宁师专学报:自然科学版,2021,1,无,内分泌,皮质下,胃,大肠,肝,肺,心,面颊,,,
柴胡龙骨牡蛎汤加减联合耳穴压籽治疗原发性高血压肝阳上亢证临床观察,刘伍振,光明中医,2021,2,中药汤剂,神门,降压沟,脾,胃,肝,心,耳迷根,降压点,,,
耳穴压豆治疗原发性高血压病合并失眠症的应用,刘萌萌,实用中医内科杂志,2021,1,无,心,肝,脾,胃,肾,,,,,,
分析耳穴压豆中医护理在高血压病患者中的应用效果及血压水平影响,刘彩云,中国保健营养,2021,2,中医护理,神门,交感,,,,,,,,,
耳穴压豆结合穴位按摩对老年高血压伴失眠患者的干预效果观察,林璐,世界睡眠医学杂志,2021,2,穴位按摩,心,神门,脾,肝,降压点,,,,,,
老年高血压合并睡眠障碍患者应用耳穴压豆联合音乐疗法的效果观察,李倩,心血管病防治知识：学术版,2021,2,音乐疗法,心,神门,枕,皮质下,,,,,,,
穴位按摩联合耳穴埋豆对高血压患者降压效果的观察,李利美,心血管病防治知识:学术版,2021,2,穴位按摩,交感,三焦,神门,肾上腺,,,,,,,
耳穴压豆联合硝苯地平治疗肝肾阴虚型高血压疗效观察,李春锋,健康必读,2021,1,无,交感,心,肾,神门,皮质下,降压点,,,,,
中医耳穴贴压辅以针灸技术对社区老年原发性高血压的效果观察,胡悦颖,世界最新医学信息文摘,2021,2,针灸,降压沟,,,,,,,,,,
耳尖放血联合耳穴埋豆辅助治疗阴虚阳亢型高血压病临床研究,何民,新中医,2021,2,耳尖放血,交感,内分泌,神门,肝,肾,降压沟,心,,,,
中医耳穴压贴与针灸技术对社区老年性高血压进行治疗的临床效果分析,古再丽阿依·帕尔哈提,中国社区医师,2021,2,针灸,降压点,心,额,皮质下,肝,交感,,,,,
神门关联配穴精准压丸法对肝阳上亢型原发性高血压病1级患者中医证候的影响,巩玉红,世界最新医学信息文摘,2021,2,穴位按摩,神门,心,交感,肝,降压沟,,,,,,
耳穴压豆辅助治疗眩晕(原发性高血压)的效果,龚婷,中国中医药现代远程教育,2021,1,无,交感,心,肝,肾,内分泌,神门,降压沟,,,,
情志护理+耳穴埋籽对老年高血压脑卒中恢复期伴焦虑症状患者的影响,龚立琴,心理月刊,2021,2,情志护理,神门,肝,肾,心,额,枕,皮质下,,,,
穴位贴敷联合耳穴压豆对原发性高血压患者血压控制及睡眠质量的影响,冯曙霞,临床研究,2021,2,穴位贴敷,肾,肝,降压点,降压沟,肝阳,高血压点,神门,失眠穴,皮质下,,
观察耳穴压豆中医护理对高血压患者血压水平及满意度的影响,董薇,健康之家,2021,1,无,心,肝,神门,皮质下,,,,,,,
高血压病患者运用耳穴压豆中医护理的效果分析,丁娜,健康管理,2021,1,无,降压沟,降压点,肾,脑,内分泌,神门,,,,,
耳穴压豆治疗老年高血压伴失眠症的效果观察,程彦青,特别健康,2021,1,无,降压沟,交感,内分泌,心,皮质下,神门,,,,,
子午流注指导下穴位贴敷联合耳穴压豆在高血压患者中的应用,陈仕梅,中国当代医药,2021,2,穴位贴敷,降压沟,心,脾,胃,肾,神门,皮质下,,,,
耳穴埋豆联合缬沙坦对肝阳上亢型高血压患者的临床疗效观察,蔡炼,心血管病防治知识:学术版,2021,1,无,肝,神门,降压沟,心,交感,胆,,,,,
耳穴贴压联合针刺治疗高血压临床观察,鲍晓娜,光明中医,2021,2,针刺,降压沟,肝阳,心,肝,肾,内分泌,,,,,
耳穴贴压法配合降压药治疗高血压病的效果观察,邹贤顺,当代医药论丛,2020,1,无,皮质下,降压沟,神门,,,,,,,,
研究耳穴贴压联合吴茱萸涌泉穴穴贴在高血压患者护理中的干预价值,周希妹,实用临床护理学电子杂志,2020,2,穴位贴敷,神门,降压沟,降压点,心,耳尖,,,,,,
中医辨证施膳联合多种适宜技术治疗肾性高血压的疗效观察,赵晓彬,中医临床研究,2020,2,中医膳食,神门,皮质下,内分泌,交感,肾,降压沟,,,,,
中医耳穴贴压与针灸技术治疗社区老年原发性高血压的疗效观察,赵满,自我保健,2020,2,针灸,降压沟,,,,,,,,,,
耳穴埋豆联合穴位贴敷在高血压眩晕患者血压控制中的应用效果,张建伟,康颐,2020,2,穴位贴敷,心,神门,肾,交感,皮质下,降压沟,,,,,
中药浴足与耳穴贴压联合西药治疗高血压眩晕效果分析,张丹,新中医,2020,2,中药足浴,神门,肝,降压沟,交感,肾,内分泌,,,,,
耳穴埋籽联合苯磺酸氨氯地平片治疗高血压眩晕的临床观察,袁笑弟,中国民间疗法,2020,1,无,神门,耳尖,肝阳,枕,,,,,,,
耳穴埋豆联合穴位贴敷治疗高血压患者眩晕的临床分析,袁红菊,中国农村卫生,2020,2,穴位贴敷,皮质下,心,肝,肾,降压沟,,,,,,
耳穴埋豆治疗透析患者高血压的疗效分析,叶凯丽,特别健康,2020,1,无,降压沟,神门,心,肝,肾,交感,,,,,
耳穴压豆在改善高血压患者头痛头晕症状中的应用护理分析,叶璟,中国现代医生,2020,1,无,降压沟,,,,,,,,,,
耳穴贴压疗法治疗原发性高血压并发焦虑效果及不良反应率,杨伟锋,康颐,2020,1,无,神门,心,肝,肾,三焦,,,,,,
中医耳穴贴压联合头面部按摩在原发性高血压患者中的应用,晏芳,药品评价,2020,2,头面部按摩,肝,神门,交感,皮质下,高血压点,降压沟,,,,,
耳穴贴压联合情志干预在原发性高血压患者中的应用,徐鹏敏,河南医学研究,2020,2,情志护理,心,神门,交感,降压沟,,,,,,,
中医耳穴贴压与针灸技术治疗社区老年原发性高血压的临床效果观察,谢文静,健康大视野,2020,2,针灸,内分泌,降压点,降压沟,,,,,,,,
耳穴疗法联合针灸对老年轻度高血压的治疗效果,吴迁,健康大视野,2020,2,针灸,降压沟,,,,,,,,,,
耳穴贴压治疗高血压病肝阳上亢证疗效探讨,王蓉,家庭医药.就医选药,2020,1,无,心,肝,降压沟,神门,皮质下,,,,,,
眩晕3号方联合穴位敷贴、耳穴贴压治疗阴虚阳亢型原发性高血压的效果分析,王茜,健康必读,2020,3,中药汤剂、穴位敷贴,肝,脑干,颈椎,肾上腺,皮质下,,,,,,
耳穴压豆治疗原发性高血压伴失眠症的临床效果,王广梅,东方药膳,2020,1,无,心,肝,脾,肾,胃,降压沟,,,,,
柴胡龙骨牡蛎汤加减联合耳穴压籽治疗原发性高血压肝阳上亢证的临床疗效观察,孙静,中西医结合心脑血管病杂志,2020,2,中药汤剂,皮质下,降压点,降压沟,交感,神门,心,肝,肾,,,
耳穴贴压对高血压患者高压氧治疗中的降压效果分析,帅艳常,中国社区医师,2020,1,无,上耳根,降压沟,肾,肝,肾上腺,神门,交感,,,,
耳穴压豆法治疗老年高血压病临床研究,史晓玲,养生保健指南,2020,1,无,心,交感,肾,降压沟,,,,,,,
吴茱萸穴位贴敷联合耳穴压豆在高血压患者护理中的效果观察,石欣,药品评价,2020,2,穴位贴敷,降压点,神门,耳尖,降压沟,,,,,,,
加减半夏白术天麻汤联合耳穴压籽对高血压病患者合并焦虑状态的影响,任明嘉,中医临床研究,2020,2,中药汤剂,降压沟,皮质下,神门,交感,,,,,,,
辨证耳穴埋籽对高血压病合并失眠患者血压和睡眠质量的影响研究,科学养生,马慧慧,2020,1,无,神门,心,肾,肝,,,,,,,
穴位贴敷联合耳穴压豆对高血压水平及高血压不良反应的临床疗效观察,罗珊珊,康颐,2020,2,穴位贴敷,降压沟,神门,心,耳尖,肾,肝,,,,,
中药降压贴联合耳穴埋豆法辅助治疗原发性高血压的临床观察,卢星星,中国现代医生,2020,2,穴位贴敷,心,神门,交感,肝,肾,降压沟,,,,,
耳穴贴压法治疗在老年人原发性高血压护理中的应用及对血压水平的影响研究,刘子玉,康颐,2020,1,无,神门,交感,降压沟,脾,大肠,胃,肝,胆,肾,,
耳穴压豆联合半夏白术天麻汤合通窍活血汤治疗高血压并高脂血症的疗效分析,刘永耀,中国现代药物应用,2020,2,中药汤剂,耳尖,降压沟,神门,心,脾,内分泌,交感,皮质下,,,
耳穴贴压法治疗在老年人原发性高血压护理中的应用及对血压水平的影响,刘静娜,国际护理学杂志,2020,1,无,神门,降压沟,交感,脾,皮质下,内分泌,,,,,
针灸联合耳穴压豆在原发性高血压治疗中的临床效果及有效率影响评价,林燕茹,饮食保健,2020,2,针灸,降压沟,降压点,神门,,,,,,,,
观察耳穴压豆中医护理在高血压病患者中的应用效果,梁惠行,东方药膳,2020,1,无,降压沟,肾,内分泌,神门,交感,,,,,,
探究耳穴压豆联合穴位贴敷中医护理在高血压病患者中的护理效果,李玉芳,医学理论与实践,2020,2,穴位贴敷,降压沟,心,神门,耳尖,肾,肝,,,,,
探讨对高血压伴睡眠障碍患者进行耳穴埋籽护理的临床效果进行分析,李小莲,东方药膳,2020,1,无,交感,神门,肝,肾,皮质下,,,,,,
耳穴压豆联合音乐疗法对高血压合并睡眠障碍老年患者睡眠的影响,李倩,系统医学,2020,2,音乐疗法,神门,心,皮质下,枕,,,,,,,
传统中医护理技术耳穴埋豆与穴位贴敷联合应用治疗原发性高血压的临床疗效,李丹,中医学报,2020,2,穴位贴敷,降压沟,心,神门,交感,内分泌,,,,,,
耳穴压豆联合降压操对高血压病患者血压的影响观察,黎晓艳,世界最新医学信息文摘,2020,2,降压操,耳尖,神门,肾上腺,心,肝,肾,,,,,
中医耳穴贴压与针灸技术治疗社区老年原发性高血压患者临床观察,金川,光明中医,2020,2,针灸,降压沟,,,,,,,,,,
分析为高血压患者采取耳穴压豆联合穴位贴敷中医护理的效果,黄凡,健康必读,2020,2,穴位贴敷,心,耳尖,降压沟,神门,肾,肝,,,,,
苍术二陈汤联合耳穴压豆治疗1级高血压68例,胡晓琴,中医外治杂志,2020,2,中药汤剂,皮质下,神门,降压沟,交感,脾,胃,,,,,
耳穴贴压配合中医护理治疗顽固性高血压的效果观察,郭海阳,实用临床护理学电子杂志,2020,2,中医护理,耳尖,肾,肾上腺,神门,降压沟,肝,内分泌,心,,,
耳穴贴压对社区老年高血压患者血压变异性影响,顾君,上海医药,2020,1,无,心,肝,肾,脾,降压沟,神门,交感,皮质下,内分泌,三焦,
神门关联配穴压丸法治疗肝阳上亢型1级原发性高血压病患者的疗效分析,巩玉红,中国全科医学,2020,2,穴位按摩,神门,心,肝,交感,降压沟,,,,,,
耳穴压豆联合中医护理在高血压患者中的应用效果分析,高新鸿,中国保健营养,2020,2,中医护理,神门,降压点,肾,内分泌,脑,,,,,,
对高血压病患者运用耳穴压豆中医护理的效果分析,冯丽君,中外女性健康研究,2020,2,中医护理,降压沟,降压点,神门,交感,,,,,,,
天麻钩藤饮联合耳穴埋豆治疗原发性高血压肝阳上亢证的临床观察,丁丽,中华中医药杂志,2020,2,中药汤剂,降压沟,交感,神门,肾,肝,心,,,,,
耳穴贴压联合涌泉穴按摩对老年原发性高血压患者血压变异性的影响,崔秀卿,陕西中医,2020,2,穴位按摩,三焦,神门,心,肾,肝,交感,皮质下,,,,
探讨雷火灸联合耳穴压豆治疗中老年高血压症患者的护理效果,陈玉娇,健康管理,2020,2,艾灸,降压点,神门,心,降压沟,耳尖,,,,,,
耳穴压豆与穴位贴敷治疗老年高血压失眠临床观察,陈雍慧,中国中医药现代远程教育,2020,2,穴位贴敷,脾,心,肾,肝,枕,交感,神门,皮质下,,,
耳穴埋豆和涌泉穴按摩对原发性高血压的疗效及其护理干预,陈文静,世界最新医学信息文摘,2020,2,穴位按摩,三焦,神门,交感,,,,,,,,
王不留行籽耳贴和涌泉穴按摩对原发性高血压的临床疗效及有效性分析,陈儒英,临床医药文献电子杂志,2020,2,穴位按摩,神门,心,降压沟,肾,,,,,,,
耳穴贴压联合抗高眩方治疗原发性高血压病眩晕的临床研究,张少明,广州中医药大学学报,2019,2,中药汤剂,降压沟,肝,肾,,,,,,,,
耳穴压豆联合西药治疗高血压病的疗效观察,张红丽,中国实用医药,2019,1,无,降压沟,皮质下,三焦,交感,神门,高血压点,,,,,
耳穴压豆对阴虚阳亢型高血压患者生活质量影响的临床观察,辛意,继续医学教育,2019,1,无,交感,内分泌,神门,肝,肾,降压沟,心,脾,,,
耳穴埋豆配合穴位按摩对原发性高血压患者降压效果及生活质量的影响,肖丹,当代护士：上旬刊,2019,2,穴位按摩,三焦,神门,交感,肾上腺,,,,,,,
高血压眩晕病人应用耳穴埋籽的效果观察和护理,吴晓燕,心血管病防治知识：学术版,2019,1,无,神门,肾,枕,交感,,,,,,,
耳穴压豆联合吴茱萸涌泉穴穴贴在高血压患者护理中的应用效果分析,吴娟鸽,四川中医,2019,2,穴位贴敷,降压点,神门,心,降压沟,耳尖,,,,,,
耳穴压豆结合中医健康教育对社区高血压患者干预效果分析,王玲莉,社区医学杂志,2019,2,健康教育,降压沟,交感,神门,心,肝,肾,,,,,
耳穴贴压治疗原发性高血压(痰湿壅盛证)的临床分析,王海珍,世界最新医学信息文摘,2019,1,无,心,肝,脾,三焦,肾,降压沟,,,,,
用耳穴压豆法治疗顽固性高血压的效果研析,王爱方,当代医药论丛,2019,1,无,内分泌,神门,皮质下,交感,肾上腺,降压沟,肾,肝,,,
耳穴压豆联合中医护理在高血压患者中的应用效果分析,孙艳美,健康之友,2019,2,中医护理,降压沟,肝,肾,心,交感,神门,,,,,
耳穴压豆治疗原发性高血压伴失眠症的观察及护理研究,阮燕媚,心电图杂志：电子版,2019,1,无,心,肝,脾,胃,肾,降压沟,,,,,
耳穴贴压联合穴位贴敷在高血压患者中的疗效观察,钱静,当代护士：中旬刊,2019,2,穴位贴敷,神门,降压沟,内分泌,,,,,,,,
耳尖放血联合耳穴埋籽治疗高血压头痛临床观察,刘艳丽,光明中医,2019,2,耳尖放血,三焦,,,,,,,,,,
耳穴贴压对高血压患者的靶器官保护作用及血压情况观察,刘建永,现代养生（下半月版）,2019,1,无,神门,内分泌,降压沟,降压点,高血压点,胃,脾,,,,
耳穴贴压配合降压药物治疗高血压1级患者临床疗效观察,刘宝新,中外女性健康研究,2019,1,无,降压点,降压沟,神门,内分泌,,,,,,,
耳穴贴压治疗原发性高血压1级患者临床疗效观察,刘宝新,中国农村卫生,2019,1,无,降压沟,神门,内分泌,,,,,,,,
耳穴贴压治疗痰湿壅盛型轻中度高血压的临床疗效观察,连艳玲,中西医结合心脑血管病杂志,2019,1,无,心,肝,肾,交感,神门,降压沟,,,,,
柴胡加龙骨牡蛎汤加减联合耳穴埋豆治疗原发性高血压病的临床分析,李玉宝,中医临床研究,2019,2,中药汤剂,神门,降压沟,降压点,耳迷根,心,脾,肝,胃,,,
眩晕3号方联合穴位敷贴、耳穴贴压治疗阴虚阳亢型原发性高血压,李颖,河南中医,2019,3,中药汤剂、穴位敷贴,降压沟,肝,肾,,,,,,,,
耳穴埋豆法治疗高血压病的疗效观察及护理体会,蒋华,临床医药文献电子杂志,2019,1,无,心,肝,神门,皮质下,,,,,,,
耳穴压豆结合穴位按摩对高血压伴失眠患者的护理效果观察,何艳平,家庭医药,2019,2,穴位按摩,神门,心,肾,交感,皮质下,,,,,,
耳穴贴压配合中医护理治疗顽固性高血压的效果观察,顾永红,医药前沿,2019,2,中医护理,耳尖,肾,降压沟,肝,肾上腺,神门,心,,,,
耳穴贴压辅助治疗高血压危象疗效观察,高健敏,上海针灸杂志,2019,1,无,降压沟,降压点,耳尖,神门,交感,内分泌,,,,,
中医耳穴疗法对社区原发性高血压并发焦虑患者的影响分析,傅智丽,中西医结合心血管病电子杂志,2019,1,无,肝,神门,心,三焦,肾,,,,,,
对高血压伴睡眠障碍患者进行耳穴埋籽护理的效果探究,卞纯,当代医药论丛,2019,1,无,交感,神门,枕,,,,,,,,
耳穴压豆治疗原发性高血压伴失眠症的观察及护理分析,包秀萍,临床检验杂志：电子版,2019,1,无,心,肝,脾,肾,胃,降压沟,,,,,
耳穴压豆护理在高血压自管小组中的应用,朱磊,海南医学,2018,1,无,降压沟,神门,交感,心,肝,肾,,,,,
耳穴贴压配合生活方式干预治疗痰瘀互结型高血压前期的临床研究,赵鑫,中国处方药,2018,1,无,耳尖,神门,内分泌,降压沟,脾,胃,肝,心,,,
高血压患者中运用耳穴埋豆护理的效果分析,张仙红,医学食疗与健康,2018,1,无,神门,三焦,皮质下,内分泌,交感,降压沟,,,,,
耳穴贴压联合西药治疗社区原发性高血压的临床观察,郁丘婷,上海中医药杂志,2018,1,无,肝,降压沟,交感,神门,,,,,,,
耳穴压豆联合情志干预对高血压伴睡眠障碍患者焦虑状态、睡眠质量及血压的影响,姚玉红,医学临床研究,2018,2,情志护理,肝,肾,降压点,肝阳,降压沟,神门,高血压点,皮质下,失眠,,
中药穴位贴敷联合耳穴压豆治疗老年高血压失眠临床观察,王文岩,实用中医药杂志,2018,2,穴位贴敷,神门,心,交感,皮质下,枕,肝,肾,脾,,,
中医耳穴压豆护理对高血压患者降压效果研究,王凌飞,中国保健营养,2018,1,无,神门,心,交感,皮质下,,,,,,,
耳穴压豆对肝火亢盛型高血压干预效果的影响,王玲莉,中国当代医药,2018,1,无,降压沟,交感,神门,肾,肝,心,,,,,
柴胡加龙骨牡蛎汤加减联合耳穴埋豆治疗原发性高血压的临床研究,童芬芬,中西医结合心脑血管病杂志,2018,2,中药汤剂,胃,脾,肝,心,耳迷根,降压点,降压沟,神门,,,
对肝火亢盛型高血压患者进行中医护理的效果分析,唐晓玲,当代医药论丛,2018,2,情志护理,降压沟,神门,降压点,内分泌,脑,肾,,,,,
中医综合疗法治疗Ⅰ级高血压病的临床观察,孙增玉,中华中医药学刊,2018,3,穴位按摩、中药汤剂,神门,皮质下,降压点,内分泌,降压沟,,,,,,
耳穴埋豆治疗高血压病120例疗效观察,钱春梅,世界最新医学信息文摘（电子版）,2018,1,无,心,肾,交感,降压沟,,,,,,,
耳穴压豆治疗高血压30例,刘燕,中国中医药现代远程教育,2018,1,无,交感,心,肾,降压沟,,,,,,,
耳穴埋豆联合穴位按摩在眩晕病中的应用效果,梁兜选,中国当代医药,2018,2,穴位按摩,神门,心,交感,降压沟,,,,,,,
耳穴埋豆与穴位贴敷辅助治疗原发性高血压的疗效观察,李娜,陕西中医药大学学报,2018,2,穴位贴敷,耳尖,降压沟,交感,神门,心,肾,,,,,
健康教育联合耳穴压豆在高血压患者中的效果观察,李杰萍,中国医学创新,2018,2,健康教育,降压沟,降压点,神门,心,肝,肾,枕,,,,
耳穴压豆疗法治疗高血压的疗效观察,蒋彦,中国医药科学,2018,1,无,心,交感,肾,降压沟,,,,,,,
耳穴疗法联合针灸治疗老年原发性高血压疗效观察,黄志诚,深圳中西医结合杂志,2018,2,针灸,降压沟,,,,,,,,,,
耳穴压豆联合头面部经络梳理治疗肝阳上亢型高血压伴焦虑患者的效果,胡利娟,广东医学,2018,2,头面部按摩,肝,肾,降压点,心,神门,高血压点,皮质下,,,,
中医药综合治疗1级高血压随机平行对照观察,郭志华,长春中医药大学学报,2018,2,中药汤剂,心,肝,肾,降压点,肝阳,,,,,,
耳穴压豆联合穴位贴敷对肝阳上亢型高血压患者血压水平及满意度的影响,冯海艳,国际护理学杂志,2018,2,穴位贴敷,降压沟,心,神门,肝,肾,,,,,,
针灸联合耳穴贴压治疗老年原发性高血压的临床效果观察,窦莉莉,临床合理用药杂志,2018,2,针灸,降压点,降压沟,内分泌,,,,,,,,
耳穴贴压治疗中低危高血压临床效果观察,刁鹏,中外医学研究,2018,1,无,皮质下,交感,神门,肾,肝,降压沟,,,,,
耳穴压豆联合西药治疗原发性高血压伴抑郁症疗效观察,成金汉,中医临床研究,2018,1,无,神门,降压沟,内分泌,皮质下,交感,心,,,,,
耳穴压豆对高血压自管小组原发性高血压患者血压控制效果和睡眠质量的影响,朱磊,中国初级卫生保健,2017,1,无,降压沟,神门,心,肝,交感,肾,,,,,
中医特色护理技术耳穴压豆干预控制肝火亢盛型高血压临床研究,郑丽娟,辽宁中医药大学学报,2017,1,无,神门,降压沟,交感,肾,肝,心,,,,,
用耳穴贴压法对高血压患者进行护理的效果分析,张颖,当代医药论丛,2017,1,无,神门,降压沟,交感,脾,胃,大肠,肝,肾,胆,,
温和灸联合耳穴压豆治疗老年性晨峰高血压39例,张晓平,浙江中医杂志,2017,2,艾灸,交感,皮质下,降压沟,神门,内分泌,心,肾,,,,
耳穴疗法配合穴位敷贴治疗高血压病30例疗效观察,张晶,养生保健指南,2017,2,穴位贴敷,降压沟,神门,皮质下,,,,,,,,
耳穴压豆联合吴茱萸贴敷涌泉穴治疗原发性高血压疗效观察,吴川丽,海南医学,2017,2,穴位贴敷,降压沟,肝,内分泌,,,,,,,,
耳穴贴压对高血压患者靶器官保护作用的临床研究,吴朝进,上海针灸杂志,2017,1,无,降压沟,肝,神门,肾,交感,皮质下,,,,,
